VLAD encoding: k = 8, C = 0.001000, linear_score = 0.272000, rbf_score = 0.214500
VLAD encoding: k = 8, C = 0.030000, linear_score = 0.216500, rbf_score = 0.214500
VLAD encoding: k = 8, C = 0.100000, linear_score = 0.212500, rbf_score = 0.214500
VLAD encoding: k = 8, C = 0.300000, linear_score = 0.211000, rbf_score = 0.245500
VLAD encoding: k = 8, C = 1.000000, linear_score = 0.208000, rbf_score = 0.279500
VLAD encoding: k = 8, C = 3.000000, linear_score = 0.209500, rbf_score = 0.277000
VLAD encoding: k = 8, C = 5.000000, linear_score = 0.211000, rbf_score = 0.269000
VLAD encoding: k = 16, C = 0.001000, linear_score = 0.253000, rbf_score = 0.214500
VLAD encoding: k = 16, C = 0.030000, linear_score = 0.225500, rbf_score = 0.214500
VLAD encoding: k = 16, C = 0.100000, linear_score = 0.216500, rbf_score = 0.214500
VLAD encoding: k = 16, C = 0.300000, linear_score = 0.219000, rbf_score = 0.237500
VLAD encoding: k = 16, C = 1.000000, linear_score = 0.219000, rbf_score = 0.281000
VLAD encoding: k = 16, C = 3.000000, linear_score = 0.219000, rbf_score = 0.272500
VLAD encoding: k = 16, C = 5.000000, linear_score = 0.219000, rbf_score = 0.268000
VLAD encoding: k = 32, C = 0.001000, linear_score = 0.255500, rbf_score = 0.214500
VLAD encoding: k = 32, C = 0.030000, linear_score = 0.238500, rbf_score = 0.214500
VLAD encoding: k = 32, C = 0.100000, linear_score = 0.235500, rbf_score = 0.214500
VLAD encoding: k = 32, C = 0.300000, linear_score = 0.237500, rbf_score = 0.219000
VLAD encoding: k = 32, C = 1.000000, linear_score = 0.237500, rbf_score = 0.280500
VLAD encoding: k = 32, C = 3.000000, linear_score = 0.237500, rbf_score = 0.277000
VLAD encoding: k = 32, C = 5.000000, linear_score = 0.237500, rbf_score = 0.279000
VLAD encoding: k = 64, C = 0.001000, linear_score = 0.236500, rbf_score = 0.214500
VLAD encoding: k = 64, C = 0.030000, linear_score = 0.223500, rbf_score = 0.214500
VLAD encoding: k = 64, C = 0.100000, linear_score = 0.222000, rbf_score = 0.214500
VLAD encoding: k = 64, C = 0.300000, linear_score = 0.222000, rbf_score = 0.215000
VLAD encoding: k = 64, C = 1.000000, linear_score = 0.222000, rbf_score = 0.272500
VLAD encoding: k = 64, C = 3.000000, linear_score = 0.222000, rbf_score = 0.268500
VLAD encoding: k = 64, C = 5.000000, linear_score = 0.222000, rbf_score = 0.260500
VLAD encoding: k = 128, C = 0.001000, linear_score = 0.242500, rbf_score = 0.214500
VLAD encoding: k = 128, C = 0.030000, linear_score = 0.238500, rbf_score = 0.214500
VLAD encoding: k = 128, C = 0.100000, linear_score = 0.238500, rbf_score = 0.214500
VLAD encoding: k = 128, C = 0.300000, linear_score = 0.238500, rbf_score = 0.214500
VLAD encoding: k = 128, C = 1.000000, linear_score = 0.238500, rbf_score = 0.257000
VLAD encoding: k = 128, C = 3.000000, linear_score = 0.238500, rbf_score = 0.274000
VLAD encoding: k = 128, C = 5.000000, linear_score = 0.238500, rbf_score = 0.265500
VLAD encoding: k = 256, C = 0.001000, linear_score = 0.236000, rbf_score = 0.214500
VLAD encoding: k = 256, C = 0.030000, linear_score = 0.226500, rbf_score = 0.214500
VLAD encoding: k = 256, C = 0.100000, linear_score = 0.226500, rbf_score = 0.214500
VLAD encoding: k = 256, C = 0.300000, linear_score = 0.226500, rbf_score = 0.214500
VLAD encoding: k = 256, C = 1.000000, linear_score = 0.226500, rbf_score = 0.251000
VLAD encoding: k = 256, C = 3.000000, linear_score = 0.226500, rbf_score = 0.256000
VLAD encoding: k = 256, C = 5.000000, linear_score = 0.226500, rbf_score = 0.251000
VLAD encoding: k = 512, C = 0.001000, linear_score = 0.236500, rbf_score = 0.214500
VLAD encoding: k = 512, C = 0.030000, linear_score = 0.225000, rbf_score = 0.214500
VLAD encoding: k = 512, C = 0.100000, linear_score = 0.225000, rbf_score = 0.214500
VLAD encoding: k = 512, C = 0.300000, linear_score = 0.225000, rbf_score = 0.214500
VLAD encoding: k = 512, C = 1.000000, linear_score = 0.225000, rbf_score = 0.238000
VLAD encoding: k = 512, C = 3.000000, linear_score = 0.253000, rbf_score = 0.272000
VLAD encoding: k = 512, C = 5.000000, linear_score = 0.253000, rbf_score = 0.278500
VLAD encoding: k = 1024, C = 0.001000, linear_score = 0.222000, rbf_score = 0.214500
VLAD encoding: k = 1024, C = 0.030000, linear_score = 0.266500, rbf_score = 0.214500
VLAD encoding: k = 1024, C = 0.100000, linear_score = 0.269000, rbf_score = 0.215500
VLAD encoding: k = 1024, C = 0.300000, linear_score = 0.257000, rbf_score = 0.254000
VLAD encoding: k = 1024, C = 1.000000, linear_score = 0.253000, rbf_score = 0.262500
VLAD encoding: k = 1024, C = 3.000000, linear_score = 0.245000, rbf_score = 0.261500
VLAD encoding: k = 1024, C = 5.000000, linear_score = 0.244500, rbf_score = 0.258000
